Class,Name,Value
cab,enyenewl,2414
cab,ockoac,8215
cab,ikdagcy,18109
cab,ayshekki,21343
cab,ancorjo,20867
cab,idvowwed,27414
cab,iatmeuns,14345
cab,unwrain,5282
cab,atsfiv,4336
cab,aupclik,5681
cab,afmorc,19783
cab,ochotcil,15608
cab,enkkand,29560
cab,amwibs,22895
cab,ibflsruc,25422
cab,esnddceb,25729
cab,objoyhi,1495
cab,amciuca,20674
cab,okblahed,26237
cab,arlwras,24733
cab,afpansh,24201
cab,oadwowd,3917
cab,arcuim,21399
cab,uggdye,25008
cab,atfrim,22701
cab,edomboys,4228
cab,egnatab,23776
cab,oxdoghic,25588
cab,onwohyss,16820
cab,edjiye,27778
cab,osoccef,27768
cab,ifelas,20553
cab,imwrytsy,19046
cab,owbsuscs,25626
cab,ockihoba,23502
cab,aichash,18232
cab,epabcadu,28864
cab,orkbats,24363
cab,eitpem,11178
cab,eccest,26131
cab,iawxben,26089
cab,ecjeody,22743
cab,ofodwo,28714
cab,iapberci,23432
cab,oocsodpl,22525
cab,itquirla,25187
cab,adnerst,25131
cab,eenjoug,21738
cab,okquakar,27291
cab,ippfeip,20502
cab,eovsyt,23636
cab,evmaja,8975
cab,enidmopt,20731
cab,isekdyp,23935
cab,eavflid,24500
cab,ockolral,22490
cab,omwyek,22842
cab,efgoaku,25973
cab,ojwyky,25983
cab,edlyxy,23324
cab,ijprukfr,24878
cab,imoikcha,24880
cab,abniar,25415
cab,effneomi,27684
cab,uvjeahot,20643
cab,ogjoch,24406
cab,udveoyx,26906
cab,enjubpl,22537
cab,utjanre,26553
cab,owufrey,14295
cab,arphaud,23043
cab,oquiat,29283
cab,ujnawwe,24128
cab,asigno,27143
cab,ickphiwa,23885
cab,odklobci,23261
cab,acpegho,27347
cab,onyacju,24649
cab,awrenba,25138
cab,oowfmu,1509
cab,ogofvoit,13093
cab,ubjajo,25754
cab,abtyff,20612
cab,efcati,20976
cab,ioivkn,20986
cab,oggluv,15638
cab,uthiss,17593
cab,oivnabyo,27841
cab,eggfrij,24311
cab,umhenwed,18644
cab,udwiull,25561
cab,ucovlato,23281
cab,owgves,23957
cab,idjokva,24104
cab,osacmu,7451
cab,eosluip,26264
cab,odlorhem,26391
cab,iblool,18751
cab,ackgrica,11437
cab,onyenre,18391
cab,elswcky,22735
cab,uklsdryo,26795
cab,ujkiwe,24689
cab,amvefarl,16749
cab,efghakdi,22234
cab,eotcue,59
cab,ubnankke,25439
cab,edodblea,23053
cab,ushfeoj,24482
cab,ishvirv,25998
cab,ijcoga,24568
cab,indtwrat,18134
cab,idlorra,21567
cab,uchjafy,20619
cab,oilrag,932
cab,onannsov,5919
cab,otscokdr,25902
cab,ibpijda,23612
cab,ojbaso,22576
cab,eicmynts,10110
cab,ophugbe,25876
cab,ukgoaf,25141
cab,abyalwif,17902
cab,ebdafya,25686
cab,agyamker,8990
cab,owhagme,12134
cab,ilkble,21260
cab,edrafs,4530
cab,eesbaj,24907
cab,askmecle,22623
cab,iovlito,25881
cab,igglitby,21625
cab,ebstic,11448
cab,ioangio,16765
cab,epkiapme,25106
